award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
director	Mr. Untouchable is an English language documentary film for HDNet Films, directed by Marc Levin, and produced by Mary-Jane Robinson.	Mr. Untouchable	Marc Levin
director	His Father's Rifle is a 1915 American silent short drama directed by Edward LeSaint and written by Joseph F. Poland.	His Father's Rifle	Edward LeSaint
director	Mississippi Hare is a 1949 Looney Tunes cartoon short directed by Chuck Jones and written by Michael Maltese.	Mississippi Hare	Chuck Jones
director	Flight 7500 is a 2014 American supernatural horror film directed by Takashi Shimizu, from a screenplay by Craig Rosenberg.	Flight 7500	Takashi Shimizu
director	The Spring has few online references and did not break director John Patterson out of television directing, where he found most of his success.	The Spring	John Patterson
director	Il criminale, internationally known as Night Train to Milan, is a 1962 Italian thriller film directed by Marcello Baldi.	Night Train to Milan	Marcello Baldi
director	Crying Ladies is a 2003 Filipino film directed by Mark Meily, and winner of Best Picture in the 2003 Metro Manila Film Festival.	Crying Ladies	Mark Meily
director	Kabhi Na Kabhi is a 1998 Bollywood crime film co-written and directed by Priyadarshan.	Kabhi Na Kabhi	Priyadarshan
director	Jaanisaar is a 2015 Indian film, directed by Muzaffar Ali, and written by Javed Siddiqui, Shama Zaidi and Muzaffar Ali.	Jaanisaar	Muzaffar Ali
director	The Public Pays is a 1936 short crime film directed by Errol Taggart.	The Public Pays	Errol Taggart
director	A Wave, a WAC and a Marine is an American 1944 musical comedy film directed by Phil Karlson (his directorial debut) for low-budget Monogram Pictures.	A Wave, a WAC and a Marine	Phil Karlson
director	While Brian G. Hutton ended up as the final director, originally,High Road to China was helmed by John Huston, before being replaced by Sidney J. Furie.	High Road to China	Brian G. Hutton
director	First Comes Courage is a 1943 American war film, the final film directed by Dorothy Arzner, one of the few female directors in Hollywood at the time.	First Comes Courage	Dorothy Arzner
director	The Correspondence (Italian: La corrispondenza) is an English-language Italian romantic film directed by Giuseppe Tornatore.	The Correspondence	Giuseppe Tornatore
director	Imsai Arasan 23rd Pulikecei (English: The King of Torture, Pulikecei the 23rd) is a 2006 Indian Tamil historical-comedy film written and directed by Chimbu Deven.	Imsai Arasan 23rd Pulikecei	Chimbu Deven
director	Caloola, or The Adventures of a Jackeroo is a 1911 Australian silent film directed by Alfred Rolfe based on a novel published the previous year by Clement Pratt.	Caloola, or The Adventures of a Jackeroo	Alfred Rolfe
director	Week-End with Father is a 1951 film directed by Douglas Sirk.	Week-End with Father	Douglas Sirk
director	The Reckless Moment is a 1949 American film noir melodrama directed by Max Ophüls, produced by Walter Wanger, and released by Columbia Pictures with Burnett Guffey as cinematographer.	The Reckless Moment	Max Ophüls
director	Reel Injun is a 2009 Canadian documentary film directed by Cree filmmaker Neil Diamond, Catherine Bainbridge, and Jeremiah Hayes that explores the portrayal of Native Americans in film.	Reel Injun	Neil Diamond
director	La Gran final (English: The Great Match) is a 2006 film directed by Gerardo Olivares.	La Gran final	Gerardo Olivares
director	Chakkarayumma is a 1984 Indian Malayalam film, directed by Sajan and produced by Jagan Appachan.	Chakkarayumma	Sajan
director	Love and Savagery is a Canadian-Irish drama film, directed by John N. Smith and released in 2009.	Love and Savagery	John N. Smith
director	Big Bad Wolves (Hebrew: מי מפחד מהזאב הרע‎, Mi mefakhed mehaze'ev hara, direct translation: ``Who is scared of the bad wolf'') is a 2013 Israeli black comedy horror-thriller film written and directed by Aharon Keshales and Navot Papushado.	Big Bad Wolves	Aharon Keshales	Navot Papushado
director	Anegan (English: Multiple Single Person) is a 2015 Indian Tamil psychological thriller film directed by K. V. Anand.	Anegan	K. V. Anand
director	An Air So Pure or Un air si pur... is a 1997 French comedy-drama film directed by Yves Angelo.	An Air So Pure	Yves Angelo
director	Olangal is a 1982 Indian film in Malayalam directed by Balu Mahendra.	Olangal	Balu Mahendra
director	If You Believe It, It's So is a lost 1922 American silent drama film directed by Tom Forman and written by Perley Poore Sheehan and Waldemar Young.	If You Believe It, It's So	Tom Forman
director	The Dogwalker is a 2001 film directed and produced by Jacques Thelemaque, starring Diane Gaidry (Ellie Moore) and Pamela Gordon (Betsy Wright).	The Dogwalker	Jacques Thelemaque
director	Love Wrecked (also known as Temptation Island internationally) is a 2005 film directed by Randal Kleiser.	Love Wrecked	Randal Kleiser
director	Una Jaula no tiene secretos (A cage has no secrets) is a 1962 Spanish - Argentine comedy film directed by Agustín Navarro.	Una Jaula no tiene secretos	Agustín Navarro
director	The Summer of Ben Tyler is a 1996 television film directed by Arthur Allan Seidelman.	The Summer of Ben Tyler	Arthur Allan Seidelman
director	Dhoop Chhaon is a 1935 Hindi movie directed by Nitin Bose.	Dhoop Chhaon	Nitin Bose
director	The Mind of Mr. Reeder is a 1939 British, black-and-white, crime, mystery, directed by Jack Raymond and starring Ronald Shiner as Sam Hackett.	The Mind of Mr. Reeder	Jack Raymond
director	Sympathy in Summer is a 1971 film directed by Antony I. Ginnane when he was a 19-year-old university student.	Sympathy in Summer	Antony I. Ginnane
director	The Kaiser, the Beast of Berlin (also known as The Beast of Berlin and The Kaiser) was a 1918 American silent war propaganda melodrama film written by, directed by, and starring Rupert Julian.	The Kaiser, the Beast of Berlin	Rupert Julian
director	Thundering Dawn is an American silent film directed and produced by Harry Garson.	Thundering Dawn	Harry Garson
director	Paruthiveeran (Tamil: பருத்திவீரன்) is a 2007 Indian Tamil romantic-drama film written and directed by Ameer Sultan.	Paruthiveeran	Ameer Sultan
director	Angaar (English: Fire) is an Indian Hindi crime drama film directed by Shashilal K. Nair, released on 1 September 1992.	Angaar	Shashilal K. Nair
director	Five Days to Live is a 1922 American drama film directed by Norman Dawn and featuring Sessue Hayakawa, Tsuru Aoki, Goro Kino, Misao Seki, Toyo Fujita and George Kuwa.	Five Days to Live	Norman Dawn
director	Love in the 1980s (Chinese: 1980年代的愛情) is a 2015 Chinese period romance film directed by Huo Jianqi and based on a novel by Ye Fu.	Love in the 1980s	Huo Jianqi
director	On a le temps (English: We've Time) is a drama film directed and co-written by Abdolreza Kahani.	On a le temps	Abdolreza Kahani
director	Passionless Moments is a 1983 short Australian drama film written and directed by Jane Campion and Gerard Lee.	Passionless Moments	Jane Campion	Gerard Lee
director	Aalayamani (English title: Temple bell) is a 1962 Tamil language drama film directed by K. Shankar.	Aalayamani	K. Shankar
director	The Cloud Rider is a 1925 silent action adventure aviation film directed by Bruce M. Mitchell and starring Al Wilson and Virginia Lee Corbin.	The Cloud Rider	Bruce M. Mitchell
director	Miss Susie Slagle's is a 1946 film directed by John Berry.	Miss Susie Slagle's	John Berry
director	Abhilasha (Telugu: అభిలాష, English: Desire) is a 1983 Telugu film, directed by A. Kodandarami Reddy and was produced by K.S. Rama Rao.	Abhilasha	A. Kodandarami Reddy
director	An Act of Murder (also known as Live Today for Tomorrow and I Stand Accused) is a 1948 American crime film directed by Michael Gordon.	An Act of Murder	Michael Gordon
director	Zigano is a 1925 French-German silent crime film directed by Gérard Bourgeois and Harry Piel and starring Piel, Denise Legeay and Dary Holm.	Zigano	Harry Piel
director	The Levenger Tapes is a 2011 American horror-thriller film written and directed by Mark Edwin Robinson.	The Levenger Tapes	Mark Edwin Robinson
director	Shaadi Karke Phas Gaya Yaar (Hindi: शादी करके फँस गया यार, Urdu: شادی کر کے پھنس گیا یار‎) is a Bollywood film directed by K. S. Adhiyaman best known for directing Hum Tumhare Hain Sanam (2002).	Shaadi Karke Phas Gaya Yaar	K. S. Adhiyaman
director	Oh, to Be on the Bandwagon! (Danish: Man sku være noget ved musikken) is a 1972 Danish drama film directed by Henning Carlsen.	Oh, to Be on the Bandwagon!	Henning Carlsen
director	Lasa eta Zabala is a 2014 Spanish film directed by Pablo Malo regarding the killing of Lasa and Zabala.	Lasa eta Zabala	Pablo Malo
director	Mr. Reliable is a 1996 film directed by Nadia Tass.	Mr. Reliable	Nadia Tass
director	As Long as You're Near Me (German: Solange Du da bist) is a 1953 West German drama film directed by Harald Braun.	As Long as You're Near Me	Harald Braun
director	Adventures of Robinson Crusoe, a Sailor from York (Czech: Dobrodružství Robinsona Crusoe, námořníka z Yorku) is a 1982 Czechoslovak stop motion-animated film, with animated flashbacks, directed by Stanislav Látal.	Adventures of Robinson Crusoe, a Sailor from York	Stanislav Látal
director	Zelly and Me is a 1988 American drama film written, directed and produced by Tina Rathborne.	Zelly and Me	Tina Rathborne
director	David Holzman's Diary is a 1967 American film, directed by Jim McBride, which interrogates the art of documentary-making.	David Holzman's Diary	Jim McBride
director	``Home Soil'' is one of five episodes of the series directed by Corey Allen.	Home Soil	Corey Allen
director	The Devil's Chaplain is a 1929 American romance film directed by Duke Worne, written by Arthur Hoerl and George Bronson Howard and featuring Boris Karloff.	The Devil's Chaplain	Duke Worne
director	Don't Cry Mommy (Hangul: 돈 크라이 마미; RR: Don keurai Mami) is a 2012 South Korean crime drama film directed by Kim Yong-han.	Don't Cry Mommy	Kim Yong-han
director	Bar 20 Rides Again is a 1935 American Western film directed by Howard Bretherton and written by Gerald Geraghty and Doris Schroeder.	Bar 20 Rides Again	Howard Bretherton
director	How to Die in Oregon is a 2011 American documentary film produced and directed by Peter Richardson.	How to Die in Oregon	Peter Richardson
director	The Orphan of Anyang is a 2001 Chinese film from Sixth Generation writer-director Wang Chao.	The Orphan of Anyang	Wang Chao
director	Rancho Deluxe is a contemporary western film that was directed by Frank Perry and released in 1975.	Rancho Deluxe	Frank Perry
director	Introducing Dorothy Dandridge is a television film directed by Martha Coolidge.	Introducing Dorothy Dandridge	Martha Coolidge
director	Richard Oswald penned the tale which blended Doyle's original story and Der Hund von Baskerville and Rudolf Meinert was tasked with the direction.	Der Hund von Baskerville	Rudolf Meinert
director	The Sudden Loneliness of Konrad Steiner (German: Die plötzliche Einsamkeit des Konrad Steiner) is a 1976 Swiss drama film directed by Kurt Gloor.	The Sudden Loneliness of Konrad Steiner	Kurt Gloor
director	Summer Bachelors is a 1926 American silent romantic comedy produced and directed by Allan Dwan.	Summer Bachelors	Allan Dwan
dissolved or abolished	Cisplatina Province or Cisplatine Province (Portuguese: Província Cisplatina) was a Brazilian province in existence from 1821 to 1828 created by the Luso-Brazilian annexation of the Oriental Province.	Cisplatina	1828
dissolved or abolished	SDRC was purchased by EDS in 2001 for a reported $950 million.	SDRC	2001
dissolved or abolished	The Comptroller of the Treasury was an official of the United States Department of the Treasury from 1789 to 1817.	Comptroller of the Treasury	1817
dissolved or abolished	In 2001, MicroProse ceased to exist as an entity and Hasbro Interactive sold the MicroProse intellectual properties to Infogrames Entertainment, SA. The MicroProse UK's former main office in Chipping Sodbury was closed in 2002, followed by the company's former headquarters in Hunt Valley, Maryland in 2003.	MicroProse	2001
dissolved or abolished	In August 2008, as a part of the district reform in Saxony, the districts of Delitzsch and Torgau-Oschatz were merged into the new district Nordsachsen.	Torgau-Oschatz	2008
dissolved or abolished	The Blue Division faced a major Soviet attempt to break the siege of Leningrad in February 1943, when the 55th Army of the Soviet forces, reinvigorated after the victory at Stalingrad, attacked the Spanish positions at the Battle of Krasny Bor, near the main Moscow-Leningrad road.	Blue Division	1943
dissolved or abolished	Disagreements with the Spanish government led American and English settlers between the Mississippi and Perdido Rivers to declare that area the independent Republic of West Florida in 1810.	West Florida	1810
dissolved or abolished	Prince-Bishopric of Montenegro was аn ecclesiastical principality that existed from 1696 until 1852.	Prince-Bishopric of Montenegro	1852
dissolved or abolished	Cadix was a World War II clandestine intelligence center at Uzès, on the Mediterranean coast in southern France, from September 1940 to 9 November 1942.	Cadix	1942
dissolved or abolished	Delage was a French luxury automobile and racecar company founded in 1905 by Louis Delage in Levallois-Perret near Paris; it was acquired by Delahaye in 1935 and ceased operation in 1953.	Delage	1953
